Timestamp,Signal_Name,Bit_Len,Bit_Name1,Bit_Name2,Bit_Name3,Bit_Name4,Bit_Name5,Bit_Name6,Bit_Name7,Bit_Name8
0.14387,CAN_S48,8,01,7F,00,00,00,00,00,00
0.144118,CAN_S7,8,00,00,00,00,00,00,00,00
0.145177,CAN_S8,8,59,E0,3F,80,00,00,00,00
0.145419,CAN_S9,8,AE,70,7F,00,82,00,40,00
0.145663,CAN_S10,8,62,80,64,00,00,00,C3,00
0.145909,CAN_S49,8,00,FE,00,00,0C,00,20,00
0.146169,CAN_S50,8,FF,FC,FF,FF,00,00,00,00
0.146344,CAN_S89,4,00,00,40,00,Length,=,165973,BitCount
0.14659,CAN_S90,8,00,00,FE,00,80,00,00,00
0.146852,CAN_S91,8,00,99,01,00,00,00,00,00
0.14712,CAN_S92,8,06,00,00,00,00,00,00,00
0.147352,CAN_S93,8,02,0E,B0,13,61,C1,4C,65
0.149335,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.149639,CAN_S13,8,00,00,00,00,FF,00,00,00
0.149925,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.150225,CAN_S15,8,00,00,00,00,00,00,00,00
0.150526,CAN_S16,8,00,00,00,00,00,00,00,00
0.151606,CAN_S58,8,FB,09,00,02,04,00,00,00
0.15217,CAN_S1,8,10,0D,00,00,08,00,00,00
0.1528,CAN_S94,8,34,5A,00,03,1F,02,00,00
0.153538,CAN_S5,8,E9,DA,9F,78,FD,F5,37,1E
0.153788,CAN_S24,8,00,00,FE,00,00,00,00,00
0.154055,CAN_S61,8,00,68,00,3E,00,9D,00,00
0.154295,CAN_S6,8,DA,E9,3F,00,00,00,00,00
0.157031,CAN_S95,8,12,FA,1E,B3,9F,1C,05,44
0.159326,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.159564,CAN_S30,8,7C,06,00,00,30,8C,7E,FE
0.159862,CAN_S13,8,00,00,00,00,FF,00,00,00
0.160148,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.160386,CAN_S62,8,00,00,54,20,00,50,51,58
0.160681,CAN_S15,8,00,00,00,00,00,00,00,00
0.160981,CAN_S16,8,00,00,00,00,00,00,00,00
0.161629,CAN_S64,8,09,00,00,00,00,00,00,00
0.163419,CAN_S5,8,87,DB,9F,78,FD,F5,37,1E
0.163668,CAN_S4,8,00,00,00,00,F0,03,00,00
0.164052,CAN_S7,8,00,00,00,00,00,00,00,00
0.16429,CAN_S26,8,6A,E6,BF,FF,00,14,00,00
0.16518,CAN_S8,8,53,E1,3F,80,00,00,00,00
0.165419,CAN_S9,8,CA,71,7F,00,82,00,40,00
0.165659,CAN_S10,8,06,81,64,00,00,00,C3,00
0.166385,CAN_S27,8,5E,0A,00,00,00,00,00,7E
0.167875,CAN_S29,8,2B,07,00,44,40,02,00,00
0.169058,CAN_S96,8,86,01,00,00,00,00,00,FF
0.169296,CAN_S32,8,55,0E,80,12,00,00,00,00
0.16958,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.169818,CAN_S66,8,FE,6F,00,FE,FE,F7,07,00
0.170116,CAN_S13,8,00,00,00,00,FF,00,00,00
0.170403,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.170703,CAN_S15,8,00,00,00,00,00,00,00,00
0.171003,CAN_S16,8,00,00,00,00,00,00,00,00
0.171621,CAN_S67,8,63,1D,00,00,00,00,00,00
0.173426,CAN_S68,8,14,00,18,00,00,40,00,00
0.173656,CAN_S5,8,38,DC,9F,78,FD,F5,37,1E
0.173906,CAN_S24,8,00,00,FE,00,00,00,00,00
0.174148,CAN_S69,8,32,08,00,00,00,70,01,00
0.178843,CAN_S30,8,2F,07,00,00,30,8C,7E,FE
0.179351,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.179655,CAN_S13,8,00,00,00,00,FF,00,00,00
